fips_code,Year,County_str,corn_acres_harvested_2022,corn_status,corn_acres_text,GovPayment_2022,govpay_status,govpay_1000_text,source_corn,source_govpay
39001,2022,ADAMS,16210.0,observed,"16,210",826000.0,observed,826,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39003,2022,ALLEN,64776.0,observed,"64,776",1898000.0,observed,"1,898","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39005,2022,ASHLAND,36478.0,observed,"36,478",1768000.0,observed,"1,768","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39007,2022,ASHTABULA,17877.0,observed,"17,877",850000.0,observed,850,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39009,2022,ATHENS,3731.0,observed,"3,731",362000.0,observed,362,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39011,2022,AUGLAIZE,76230.0,observed,"76,230",2865000.0,observed,"2,865","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39013,2022,BELMONT,,D_suppressed,(D),82000.0,observed,82,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39015,2022,BROWN,16025.0,observed,"16,025",879000.0,observed,879,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39017,2022,BUTLER,18231.0,observed,"18,231",915000.0,observed,915,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39019,2022,CARROLL,11658.0,observed,"11,658",772000.0,observed,772,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39021,2022,CHAMPAIGN,85513.0,observed,"85,513",1914000.0,observed,"1,914","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39023,2022,CLARK,62886.0,observed,"62,886",1397000.0,observed,"1,397","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39025,2022,CLERMONT,15075.0,observed,"15,075",450000.0,observed,450,"USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
39027,2022,CLINTON,68880.0,observed,"68,880",1417000.0,observed,"1,417","USDA NASS 2022 Census of Agriculture, Ohio Table 24","USDA NASS 2022 Census of Agriculture, Ohio Table 5"
