year,totalproduction,feedandresidualuse,otheruses,ethanoluse,pricesreceivedbyfarmersdollarspe
1997,9233,5450,1348,488,2.43
1998,9207,5452,1344,518,1.94
1999,9759,5643,1370,566,1.82
2000,9431,5822,1347,630,1.85
2001,9915,5849,1355,707,1.97
2002,9503,5548,1359,996,2.32
2003,8967,5781,1381,1168,2.42
2004,10087,6135,1384,1323,2.06
2005,11806,6115,1416,1603,2.0
2006,11112,5540,1422,2119,3.04
2007,10531,5858,1393,3049,4.2
2008,13038,5133,1316,3709,4.06
2009,12043,5101,1370,4591,3.55
2010,13067,4777,1407,5019,5.18
2011,12425,4520,1421,5000,6.22
2012,12314,4315,1397,4641,6.89
2013,10755,5034,1369,5134,4.46
2014,13829,5250,1347,5175,3.7
2015,14216,5118,1424,5224,3.61
2016,13602,5470,1453,5432,3.36
2017,15148,5298,1453,5605,3.36
2018,14609,5500,1480,5600,3.61
2019,14340,5430,1414,5378,3.56
2020,13620,5700,1425,4856,4.53
2021,14111,5028,1439,5028,5.95
2022,15074,5323,1444,5326,6.75
