fips,totalplant
19003,2.0
39003,1.0
26007,1.0
20003,1.0
20005,1.0
29007,1.0
26015,1.0
46005,1.0
19011,1.0
27013,1.0
46009,1.0
31011,1.0
46011,1.0
46013,2.0
51025,1.0
29021,2.0
19021,1.0
31019,1.0
19023,1.0
26025,1.0
29033,1.0
38017,2.0
16031,1.0
19033,1.0
19035,1.0
19037,1.0
55017,2.0
21047,1.0
42033,1.0
19045,1.0
46029,1.0
55021,3.0
39031,1.0
27033,1.0
19047,2.0
31043,1.0
39037,1.0
18027,1.0
46035,1.0
31047,1.0
48117,2.0
19055,1.0
19057,1.0
19059,1.0
27039,1.0
55033,1.0
46045,1.0
27043,1.0
39047,1.0
27045,2.0
20055,2.0
19067,1.0
17053,1.0
27047,1.0
19071,1.0
06019,1.0
17057,1.0
31065,1.0
31067,1.0
56015,1.0
20063,1.0
18053,2.0
55045,1.0
19073,1.0
19077,2.0
48189,1.0
31079,1.0
31081,3.0
19083,2.0
39067,1.0
12051,1.0
17073,2.0
31087,1.0
48219,1.0
37093,1.0
31089,2.0
51670,1.0
19093,2.0
27063,1.0
18073,1.0
18075,1.0
21111,3.0
22053,1.0
55057,1.0
27067,1.0
31099,1.0
19109,1.0
46079,1.0
26091,1.0
46083,2.0
19113,2.0
08075,1.0
47105,1.0
27083,1.0
17115,2.0
06039,1.0
17119,3.0
39101,1.0
27091,2.0
38055,1.0
31121,1.0
13205,3.0
47123,2.0
18107,1.0
31123,1.0
27097,1.0
41049,2.0
19139,1.0
19141,1.0
47131,1.0
17141,1.0
36065,1.0
36073,1.0
19143,1.0
36075,1.0
27111,1.0
19147,2.0
17143,1.0
31135,1.0
20147,1.0
31139,1.0
04021,1.0
31141,1.0
19149,1.0
18129,2.0
19155,1.0
20151,1.0
18133,3.0
18135,1.0
27127,1.0
27129,1.0
20157,1.0
20111,1.0
38077,1.0
06065,1.0
46109,1.0
27133,2.0
35041,1.0
20167,1.0
29195,1.0
06071,1.0
06077,1.0
31155,1.0
20173,1.0
39147,1.0
20175,1.0
27143,1.0
19167,1.0
46115,1.0
26147,2.0
18141,1.0
06099,1.0
38089,1.0
27145,1.0
17177,1.0
20189,2.0
19169,2.0
38093,1.0
27151,1.0
17179,2.0
13283,1.0
06107,1.0
46125,2.0
26157,1.0
13293,1.0
31175,1.0
18169,1.0
28149,1.0
27161,1.0
41067,2.0
19187,3.0
08123,1.0
18179,1.0
20203,1.0
55139,1.0
19195,1.0
19197,1.0
31185,1.0
08125,1.0
